common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,CAD Design and Drafting,simple simulation for analysis  -BL4,ME,FINITE ELEMENT METHOD -CO3[Analyze the finite element formulation of bars and trusses](21ME51),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,CAD Design and Drafting,simple simulation for analysis  -BL5,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,basic heat transfer concepts utilization -BL3,ME,"HEAT TRANSFER  -CO1[Describe the basic modes of heat transfer, boundary conditions and solve problems on 1D conduction equation in cartesian, cylindrical and spherical co-ordinate systems.](21ME62)","HEAT TRANSFER  -CO2[Explain the concept of fins and its applications and solve problems on critical thickness of insulation, Analyze the Transient heat conduction by using Heisler and Grober charts.](21ME62)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,basic heat transfer concepts utilization -BL4,ME,HEAT TRANSFER  -CO3[Analyse the system of steady and unsteady heat conduction in 1D & 2D co-ordinates and explain the basic concepts of radiation heat transfer.](21ME62),"HEAT TRANSFER  -CO4[Analyze and Solve the problems on forced convection, velocity and thermal boundary layers, applications of navier stokes and energy equations, free convection on various geometries.](21ME62)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,basic heat transfer concepts utilization -BL5,ME,"HEAT TRANSFER  -CO5[Design various types of heat exchangers, boiling & condensation equipment’s.](21ME62)",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,fluid flow rates and pressure drops calculation -BL3,ME,"FLUID MECHANICS -CO3[Understand and apply the basic knowledge of fluid dynamics to the vanes, and pipes to predict relevant forces, velocity, and pressures. ](ME422T4M )",FLUID MECHANICS AND MACHINERY LAB -CO2[Investigate the various losses of fluid flow through the pipes and fittings.](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,fluid flow rates and pressure drops calculation -BL4,ME,FLUID MECHANICS -CO4[Illustrate the concept of boundary layer in fluid flow and apply principles of dimensional analysis and similitude to form dimensionless numbers in terms of input-output variables. ](ME422T4M ),"FLUID MECHANICS AND MACHINERY  -CO2[Analyze the basic knowledge of fluid dynamics to the vanes, and pipes to predict relevant forces, velocity and pressures.](21ME54 (B))",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,fluid flow rates and pressure drops calculation -BL5,ME,FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,CFD simulations -BL3,ME,FLUID MECHANICS -CO5[Apply the basic concept of compressible flow and CFD to analyze the fluid behavior. ](ME422T4M ),FLUID MECHANICS AND MACHINERY LAB -CO2[Investigate the various losses of fluid flow through the pipes and fittings.](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,CFD simulations -BL4,ME,FLUID MECHANICS -CO4[Illustrate the concept of boundary layer in fluid flow and apply principles of dimensional analysis and similitude to form dimensionless numbers in terms of input-output variables. ](ME422T4M ),FINITE ELEMENT METHOD -CO3[Analyze the finite element formulation of bars and trusses](21ME51),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,CFD simulations -BL5,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,heat exchangers and cooling systems design -BL3,ME,"HEAT TRANSFER  -CO1[Describe the basic modes of heat transfer, boundary conditions and solve problems on 1D conduction equation in cartesian, cylindrical and spherical co-ordinate systems.](21ME62)","HEAT TRANSFER  -CO2[Explain the concept of fins and its applications and solve problems on critical thickness of insulation, Analyze the Transient heat conduction by using Heisler and Grober charts.](21ME62)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,heat exchangers and cooling systems design -BL4,ME,HEAT TRANSFER  -CO3[Analyse the system of steady and unsteady heat conduction in 1D & 2D co-ordinates and explain the basic concepts of radiation heat transfer.](21ME62),"HEAT TRANSFER  -CO4[Analyze and Solve the problems on forced convection, velocity and thermal boundary layers, applications of navier stokes and energy equations, free convection on various geometries.](21ME62)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Thermodynamics and Fluid Mechanics,heat exchangers and cooling systems design -BL5,ME,"HEAT TRANSFER  -CO5[Design various types of heat exchangers, boiling & condensation equipment’s.](21ME62)",FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,static and dynamic stress analysis performance -BL3,ME,"MECHANICS OF MATERIALS-CO1[Analyze stresses and strains developed in the member subjected to axial, bending, shear, torsion & thermal loads.](ME322T4M)","MEASUREMENT AND METROLOGY LABORATORY -CO5[Explain the applications of strain gauge, surface roughness tester and coordinate measuring machines.](ME322L5M)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,static and dynamic stress analysis performance -BL4,ME,MECHANICS OF MATERIALS-CO3[Analyze the shear force and bending moment diagrams in beams subjected to different loading conditions and bending stress and shear stress developed for different types of beams.](ME322T4M),DYNAMICS OF MACHINES -CO1[Analyze the forces and couples for Static and dynamic conditions for four bar and slider crank mechanism. ](21ME52 ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,static and dynamic stress analysis performance -BL5,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),DYNAMICS OF MACHINES -CO5[Categorize and examine system with damped and forced Vibrating conditions.](21ME52 ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,real-world mechanical loads and vibrations simulation -BL3,ME,"MECHANICS OF MATERIALS-CO1[Analyze stresses and strains developed in the member subjected to axial, bending, shear, torsion & thermal loads.](ME322T4M)",DYNAMICS OF MACHINES -CO1[Analyze the forces and couples for Static and dynamic conditions for four bar and slider crank mechanism. ](21ME52 ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,real-world mechanical loads and vibrations simulation -BL4,ME,MECHANICS OF MATERIALS-CO3[Analyze the shear force and bending moment diagrams in beams subjected to different loading conditions and bending stress and shear stress developed for different types of beams.](ME322T4M),"DYNAMICS OF MACHINES -CO3[Inspect the forces, sensitivity, effort and power of Porter and Hartnell governor and examine the gyroscopic effect on Ship and Aeroplane.](21ME52 )",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,real-world mechanical loads and vibrations simulation -BL5,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),DYNAMICS OF MACHINES -CO5[Categorize and examine system with damped and forced Vibrating conditions.](21ME52 ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,component lifespan analysis -BL3,ME,"MECHANICS OF MATERIALS-CO1[Analyze stresses and strains developed in the member subjected to axial, bending, shear, torsion & thermal loads.](ME322T4M)",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,component lifespan analysis -BL4,ME,MECHANICS OF MATERIALS-CO3[Analyze the shear force and bending moment diagrams in beams subjected to different loading conditions and bending stress and shear stress developed for different types of beams.](ME322T4M),DESIGN OF MACHINE ELEMENTS I -CO2[Analyze the design of machine element subjected to impact and fatigue loading. ](21ME63),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,component lifespan analysis -BL5,ME,MECHANICS OF MATERIALS-CO5[Analyze the concept of Strain energy and theories of failure for the efficient design of engineering materials.](ME322T4M),DESIGN OF MACHINE ELEMENTS I -CO5[Analyze the design procedure involved in power screws and selection of suitable diameter and FoS under theories of failure. ](21ME63),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,materials and structures optimization -BL3,ME,MATERIAL SCIENCE AND METALLURGY-CO1[Understand the concept of atomic packing factor and be able to describe mechanical behavior of materials](ME322I3M),"MECHANICS OF MATERIALS-CO1[Analyze stresses and strains developed in the member subjected to axial, bending, shear, torsion & thermal loads.](ME322T4M)",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,materials and structures optimization -BL4,ME,"MATERIAL SCIENCE AND METALLURGY-CO4[Understand the principles of corrosion and gain insights about powder metallurgy, its process and application](ME322I3M)",MECHANICS OF MATERIALS-CO3[Analyze the shear force and bending moment diagrams in beams subjected to different loading conditions and bending stress and shear stress developed for different types of beams.](ME322T4M),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Finite Element Analysis (FEA) and Simulation,materials and structures optimization -BL5,ME,"MATERIAL SCIENCE AND METALLURGY-CO5[Know about polymers, ceramics, composite materials and their processing as well as applications](ME322I3M)",MECHANICS OF MATERIALS-CO5[Analyze the concept of Strain energy and theories of failure for the efficient design of engineering materials.](ME322T4M),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,CNC machining operations and tool paths -BL3,RA,CNC and 3D Printing Lab  -CO1[Demonstrate the ability to manually program CNC machines using G&M codes for both turning and milling operations ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,CNC machining operations and tool paths -BL4,RA,CNC and 3D Printing Lab  -CO2[Exhibit competency in verifying tool paths using CNC program verification software ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,CNC machining operations and tool paths -BL5,RA,"CNC and 3D Printing Lab  -CO3[Simulate machining processes, gaining practical experience in virtually visualizing and refining machining operations before actual execution. ](ME422L5R )",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,G-code for manual CNC programming -BL3,RA,CNC and 3D Printing Lab  -CO1[Demonstrate the ability to manually program CNC machines using G&M codes for both turning and milling operations ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,G-code for manual CNC programming -BL4,RA,CNC and 3D Printing Lab  -CO2[Exhibit competency in verifying tool paths using CNC program verification software ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,G-code for manual CNC programming -BL5,RA,"CNC and 3D Printing Lab  -CO3[Simulate machining processes, gaining practical experience in virtually visualizing and refining machining operations before actual execution. ](ME422L5R )",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,"CAM software (Mastercam, Fusion 360) for toolpath generation -BL3",RA,CNC and 3D Printing Lab  -CO1[Demonstrate the ability to manually program CNC machines using G&M codes for both turning and milling operations ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,"CAM software (Mastercam, Fusion 360) for toolpath generation -BL4",RA,CNC and 3D Printing Lab  -CO2[Exhibit competency in verifying tool paths using CNC program verification software ](ME422L5R ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,"CAM software (Mastercam, Fusion 360) for toolpath generation -BL5",RA,"CNC and 3D Printing Lab  -CO3[Simulate machining processes, gaining practical experience in virtually visualizing and refining machining operations before actual execution. ](ME422L5R )",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,quality inspections using CMM (Coordinate Measuring Machines) -BL3,ME,MEASUREMENT AND METROLOGY LABORATORY -CO1[Demonstrate the calibration of various measuring gauges.](ME322L5M),MEASUREMENT AND METROLOGY LABORATORY -CO2[Choose appropriate measuring instruments to discover angular measurement of a given object.](ME322L5M),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,quality inspections using CMM (Coordinate Measuring Machines) -BL4,ME,MEASUREMENT AND METROLOGY LABORATORY -CO3[Analyze the application of optical and manual instruments to measure the profile of threaded parts.](ME322L5M),MEASUREMENT AND METROLOGY LABORATORY -CO4[Analyze the application of gear tooth vernier and gear tooth micrometer to measure the profile of the gears.](ME322L5M),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Manufacturing and CNC Machining,quality inspections using CMM (Coordinate Measuring Machines) -BL5,ME,"MEASUREMENT AND METROLOGY LABORATORY -CO5[Explain the applications of strain gauge, surface roughness tester and coordinate measuring machines.](ME322L5M)",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,robotic arms and automated systems design -BL3,RA,ROBOT PROGRAMMING LABORATORY  -CO1[Analyse different Operations using DOBOT magician. ](21ARL66),INDUSTRIAL AUTOMATION -CO2[Expose students to the various characteristic features of PLC and PLC programming basics.](21AR72(A)),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,robotic arms and automated systems design -BL4,RA,ROBOT KINEMATICS AND DYNAMICS -CO1[Analyze the relationship between mechanical structures of robots and their operational workspace characteristics. ](21AR53(A) ),ROBOT KINEMATICS AND DYNAMICS -CO4[Analyze the dynamic analysis of robot manipulators. ](21AR53(A) ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,robotic arms and automated systems design -BL5,RA,"ROBOT OPERATING SYSTEM 2-CO5[Apply QoS settings for lossy networks, manage nodes with lifecycles, establish efficient intraprocess communication, leverage rosbag for data recording and playback through the ROS2 bridge, understand real-time programming, experiment with a dummy robot, implement logging, and create content filtering subscriptions using external resources.](21AR52 )",INDUSTRIAL AUTOMATION -CO5[Make students understand the use of PLC elements in controlling electrical and electronic circuits.](21AR72(A)),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,PID controllers for motion control implementation -BL3,ME,CONTROL SYSTEMS -CO1[Distinguish the open and closed type of controllers and time domain control systems. ](21ME71),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,PID controllers for motion control implementation -BL4,ME,"CONTROL SYSTEMS -CO2[Analyze the control systems with the aid of block diagram reduction, signal flow graphs, and frequency response diagrams. ](21ME71)",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,PID controllers for motion control implementation -BL5,ME,CONTROL SYSTEMS -CO3[Analyze the control systems with the aid of Root locus.](21ME71),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,ROS (Robot Operating System) programs for robotic navigation -BL3,RA,"ROBOT OPERATING SYSTEM 2-CO1[Apply basic knowledge of ROS2 computation graph components, CLI tools, and workspace configuration to effectively utilize nodes, topics, services, parameters, actions, and logging for robotic applications.](21AR52 )","ROBOT OPERATING SYSTEM 2-CO2[Demonstrate proficiency in using colcon to build packages, creating workspaces and packages, and implementing basic publishers, subscribers, services, and clients, while addressing potential issues with ros2doctor and custom message and service files.](21AR52 )",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,ROS (Robot Operating System) programs for robotic navigation -BL4,RA,"ROBOT OPERATING SYSTEM 2-CO3[Employ advanced ROS2 concepts, such as managing dependencies with rosdep, creating and utilizing actions, composing multiple nodes, monitoring parameter changes, and conducting testing and URDF implementation for enhanced robotic system development.](21AR52 )",ROBOT KINEMATICS AND DYNAMICS -CO5[Analyze the joint trajectory for motion planning. ](21AR53(A) ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,ROS (Robot Operating System) programs for robotic navigation -BL5,RA,"ROBOT OPERATING SYSTEM 2-CO4[Implement advanced ROS2 features by utilizing the Fast DDS Discovery Server, custom memory allocators, Fast DDS middleware optimization, bag recording and playback, simulators (Gazebo and Webots), and addressing security concerns in robotic applications.](21AR52 )","ROBOT OPERATING SYSTEM 2-CO5[Apply QoS settings for lossy networks, manage nodes with lifecycles, establish efficient intraprocess communication, leverage rosbag for data recording and playback through the ROS2 bridge, understand real-time programming, experiment with a dummy robot, implement logging, and create content filtering subscriptions using external resources.](21AR52 )",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,"sensors (LiDAR, encoders) integration for autonomous robots -BL3",RA,"ROBOT OPERATING SYSTEM 2-CO1[Apply basic knowledge of ROS2 computation graph components, CLI tools, and workspace configuration to effectively utilize nodes, topics, services, parameters, actions, and logging for robotic applications.](21AR52 )",ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO1[Identify the types of transducers and measurement system for measuring applications. ](EC422I1R),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,"sensors (LiDAR, encoders) integration for autonomous robots -BL4",RA,ROBOT KINEMATICS AND DYNAMICS -CO5[Analyze the joint trajectory for motion planning. ](21AR53(A) ),ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Robotics and Automation,"sensors (LiDAR, encoders) integration for autonomous robots -BL5",RA,"ROBOT OPERATING SYSTEM 2-CO4[Implement advanced ROS2 features by utilizing the Fast DDS Discovery Server, custom memory allocators, Fast DDS middleware optimization, bag recording and playback, simulators (Gazebo and Webots), and addressing security concerns in robotic applications.](21AR52 )",,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),multiphase flow simulations -BL3,ME,FLUID MECHANICS -CO5[Apply the basic concept of compressible flow and CFD to analyze the fluid behavior. ](ME422T4M ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),multiphase flow simulations -BL4,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),"FLUID MECHANICS AND MACHINERY  -CO2[Analyze the basic knowledge of fluid dynamics to the vanes, and pipes to predict relevant forces, velocity and pressures.](21ME54 (B))",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),multiphase flow simulations -BL5,ME,FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),FLUID MECHANICS AND MACHINERY LAB -CO5[Determine the performance parameters on Compressor and Blower through experimentally.](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),Modeling turbulence -BL3,ME,FLUID MECHANICS -CO5[Apply the basic concept of compressible flow and CFD to analyze the fluid behavior. ](ME422T4M ),FLUID MECHANICS AND MACHINERY LAB -CO4[Perform experiments on Hydraulic Pumps and draw characteristic curve](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),Modeling turbulence -BL4,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),"FLUID MECHANICS AND MACHINERY  -CO2[Analyze the basic knowledge of fluid dynamics to the vanes, and pipes to predict relevant forces, velocity and pressures.](21ME54 (B))",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),Modeling turbulence -BL5,ME,FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),FLUID MECHANICS AND MACHINERY LAB -CO5[Determine the performance parameters on Compressor and Blower through experimentally.](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),aerodynamics optimization -BL3,ME,FLUID MECHANICS -CO5[Apply the basic concept of compressible flow and CFD to analyze the fluid behavior. ](ME422T4M ),,,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),aerodynamics optimization -BL4,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),"FLUID MECHANICS AND MACHINERY  -CO4[Analyse velocity triangles for different degrees of reaction under turbines, compressors, pumps and the performance of different steam turbines.](21ME54 (B))",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),aerodynamics optimization -BL5,ME,FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),FLUID MECHANICS AND MACHINERY LAB -CO5[Determine the performance parameters on Compressor and Blower through experimentally.](21MEL55),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),real-time fluid simulations -BL3,ME,"FLUID MECHANICS -CO2[Understand and apply the principles of buoyancy, floatation, and fluid kinematics for the flow field. ](ME422T4M )","FLUID MECHANICS AND MACHINERY  -CO1[Analyze the basic principles of fluid mechanics, fluid statics and fluid kinematics for the fluid flow.](21ME54 (B))",,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),real-time fluid simulations -BL4,ME,FINITE ELEMENT METHOD -CO5[Analyze the finite element formulation of heat transfer and dynamic consideration.](21ME51),FLUID MECHANICS -CO4[Illustrate the concept of boundary layer in fluid flow and apply principles of dimensional analysis and similitude to form dimensionless numbers in terms of input-output variables. ](ME422T4M ),,,
Mechanical Engineering,Mechanical & manufacturing Engineering,Advanced Computational Fluid Dynamics (CFD),real-time fluid simulations -BL5,ME,FLUID MECHANICS AND MACHINERY  -CO5[Analyze the performance of various types of Hydraulic turbines and Centrifugal pumps.](21ME54 (B)),FLUID MECHANICS AND MACHINERY LAB -CO5[Determine the performance parameters on Compressor and Blower through experimentally.](21MEL55),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,"blockchains working (consensus mechanisms, decentralization) -BL3",CSE,"Block Chain and Applications-CO1[Apply basic concepts of Blockchain and evaluate the benefits and limitation of
Blockchain](21CS651)","Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,"blockchains working (consensus mechanisms, decentralization) -BL4",CS,BLOCKCHAIN AND APPLICATIONS-CO2[Examine the decentralization concepts and apply thee cryptography techniques in Blockchain](21CS651),BLOCKCHAIN AND APPLICATIONS-CO4[Demonstrate Application development using Ethereum](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,"blockchains working (consensus mechanisms, decentralization) -BL5",CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,node setup and running -BL3,ISE,NODE AND REACT JS-CO1[Illustrate the practical use of Node Packet Manager in NodeJS and ReactJS.](IS42297IB),BLOCKCHAIN AND APPLICATIONS-CO3[Demonstrate the usage of Bitcoin and Alternative coin](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,node setup and running -BL4,ISE,BLOCKCHAIN AND APPLICATIONS-CO2[Examine the decentralization concepts and apply thee cryptography techniques in Blockchain](21CS651),NODE AND REACT JS-CO2[Determine the use of web applications and event-driven programming.](IS42297IB),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,node setup and running -BL5,ISE,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),NODE AND REACT JS-CO5[Demonstrate the use of props in ReactJS.](IS42297IB),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contract interaction using web3.js or ethers.js -BL3,CSE,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contract interaction using web3.js or ethers.js -BL4,CS,BLOCKCHAIN AND APPLICATIONS-CO2[Examine the decentralization concepts and apply thee cryptography techniques in Blockchain](21CS651),BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contract interaction using web3.js or ethers.js -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contracts writing in Solidity -BL3,CSE,Block Chain and Applications-CO4[Demonstrate Application development using Ethereum](21CS651),"Block Chain and Applications-CO3[Demonstrate the structure, usage, wallet transaction and installation of Bitcoin](21CS651)",,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contracts writing in Solidity -BL4,CS,BLOCKCHAIN AND APPLICATIONS-CO2[Examine the decentralization concepts and apply thee cryptography techniques in Blockchain](21CS651),BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,
New age software developer,Crypto and Blockchain Development,Blockchain Fundamentals,smart contracts writing in Solidity -BL5,CS,BLOCKCHAIN AND APPLICATIONS-CO5[Interpret the usage of Smart contract and Hyperledger ](21CS651),,,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,"hashing functions (SHA-256, Keccak) utilization -BL3",ISE,DATA STRUCTURES LABORATORY WITH C-CO5[Illustrate the application of hashing techniques to analyze the collision problems](CS322L5C),CRYPTOGRAPHY AND NETWORK SECURITY -CO2[Apply the different cryptographic operations of symmetric cryptographic algorithms.](21IS653),,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,"hashing functions (SHA-256, Keccak) utilization -BL4",ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),,,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,"hashing functions (SHA-256, Keccak) utilization -BL5",CSE,CRYPTOGRAPHY AND NETWORK SECURITY-CO3[Illustrate Public and Private key cryptography](21CS733),CRYPTOGRAPHY AND NETWORK SECURITY-CO5[Interpret authentication protocols and IPSec](21CS733),,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,wallets and private/public key cryptography utilization -BL3,ISE,BLOCKCHAIN AND APPLICATIONS-CO3[Demonstrate the usage of Bitcoin and Alternative coin](21CS651),CRYPTOGRAPHY AND NETWORK SECURITY -CO2[Apply the different cryptographic operations of symmetric cryptographic algorithms.](21IS653),,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,wallets and private/public key cryptography utilization -BL4,ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),,,,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,wallets and private/public key cryptography utilization -BL5,CSE,CRYPTOGRAPHY AND NETWORK SECURITY-CO3[Illustrate Public and Private key cryptography](21CS733),"CRYPTOGRAPHY AND NETWORK SECURITY-CO4[Explain Key management, distribution and certification](21CS733)",CRYPTOGRAPHY AND NETWORK SECURITY-CO5[Interpret authentication protocols and IPSec](21CS733),,
New age software developer,Crypto and Blockchain Development,Crypto Security Basics,digital transactions signing and verification -BL3,ISE,CRYPTOGRAPHY AND NETWORK SECURITY -CO3[Apply the different cryptographic operations of public key cryptography](21IS653),BLOCKCHAIN AND APPLICATIONS-CO3[Demonstrate the usage of Bitcoin and Alternative coin](21CS651),,,
