common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
electronics,Embedded systems,RTOS & Firmware Development,Implementing priority-based scheduling -BL 5,AIML,"Principles of Operating Systems-CO5[Discuss the structure of mass storage devices and demonstrate various disk scheduling techniques.
Summarize the concept of OS protection.](AM422T3A)","Principles of Operating Systems-CO5[Discuss the structure of mass storage devices and demonstrate various disk scheduling techniques.
Summarize the concept of OS protection.](AM422T3A)",,,
electronics,Embedded systems,RTOS & Firmware Development,Writing firmware for low-power and secure systems - BL3,ECE,ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,,,
electronics,Embedded systems,RTOS & Firmware Development,Writing firmware for low-power and secure systems - BL4,ECE,Network Security-CO2[Understand the concept of Transport Level Security and Secure Socket Layer.](21EC743),,,,
electronics,Embedded systems,RTOS & Firmware Development,Writing firmware for low-power and secure systems - BL5,RA,,,,,
electronics,Embedded systems,RTOS & Firmware Development,Developing custom protocol stacks - BL3,ECE,Computer Communication Networks -CO2[Identify the protocols and services of the data link layer. Design the different multiple access protocols and understand the working of Ethernet.](21EC51),Computer Communication Networks -CO4[Identify different protocols related to the transport layer.](21EC51),Computer Communication Networks -CO5[Demonstrate application layer protocols and their application.](21EC51),IoT & Wireless Sensor Networks-CO4[Descnbe the architectures and its communication protocols of WSNs.](21EC741),IoT & Wireless Sensor Networks-CO5[Identify the uplink and downlink communication protocols associated with specific application of IOT /WSNs](21EC741)
electronics,Embedded systems,RTOS & Firmware Development,Developing custom protocol stacks - BL4,ECE,IoT (Internet of Things) Lab -CO5[Illustrate the operations of networking concepts and protocols using C programming and network simulators.](21EC591),IoT & Wireless Sensor Networks-CO1[Understand choice and application of IoT & M2M communication protocols.](21EC741),,,
electronics,Embedded systems,RTOS & Firmware Development,Developing custom protocol stacks - BL5,ECE,Network Security-CO3[Explain Security concerns in Internet Protocol security](21EC743),"Network Security-CO5[Describe Firewalls, Firewall Characteristics, Biasing and Conﬁguration](21EC743)",,,
electronics,Embedded systems,microcontrollers - arduino,System Integration - Bl3,ECE,ARM Embedded Systems-CO3[Understand the basic hardware components and their selection method based on the characteristics and attributes of an embedded system.](21EC753),Sensors and Instrumentation-CO1[Identify appropriate sensors and components for a given measurement requirement and demonstrate how they fit into the overall system.](EC322T6EB),,,
electronics,Embedded systems,microcontrollers - arduino,System Integration - Bl4,RA,ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO1[Identify the types of transducers and measurement system for measuring applications. ](EC422I1R),Micro Electro Mechanical Systems-CO2[Apply scaling laws in the conceptual design of micro devices and systems.](21EC644),Sensors and Instrumentation-CO1[Identify appropriate sensors and components for a given measurement requirement and demonstrate how they fit into the overall system.](EC322T6EB),,
electronics,Embedded systems,microcontrollers - arduino,System Integration - Bl5,ECE,,,,,
electronics,Embedded systems,microprocessors - Advanced Programming,Memory management - BL3,ECE,Advanced VLSI-CO4[Infer the reliability of the memory](21EC71),Computer Organization & ARM Microcontrollers -CO2[Illustrate memory hierarchy and various memory management techniques to improve the computer's performance.](21EC62),,,
electronics,Embedded systems,microprocessors - Advanced Programming,Memory management - BL4,AIML,Digital Logic Design and Computer Organization-CO3[Understanding the concepts of computer modules and construct memory subsystem](AM322I2A),"Principles of Operating Systems-CO4[Discuss the concept of memory management and highlight the suitable memory management
strategy. Demonstrate the working of various page replacement algorithms and file system
operations.](AM422T3A)","Principles of Operating Systems-CO5[Discuss the structure of mass storage devices and demonstrate various disk scheduling techniques.
Summarize the concept of OS protection.](AM422T3A)",,
