year ,stream,sem,Course code ,Course,CO,CO Description,yr+stream+ course,course+co+ code
3rd,CSE,5th ,21CS594,GitHub : AI-Powered Developer Platform,CO1,Use the basics commands related to git repository,3rd 5th  21CS594 GitHub : AI-Powered Developer Platform,GitHub : AI-Powered Developer Platform-CO1[Use the basics commands related to git repository](21CS594)
3rd,CSE,5th ,21CS594,GitHub : AI-Powered Developer Platform,CO2,Create and manage the branches,3rd 5th  21CS594 GitHub : AI-Powered Developer Platform,GitHub : AI-Powered Developer Platform-CO2[Create and manage the branches](21CS594)
3rd,CSE,5th ,21CS594,GitHub : AI-Powered Developer Platform,CO3,Apply commands related to Collaboration and Remote Repositories,3rd 5th  21CS594 GitHub : AI-Powered Developer Platform,GitHub : AI-Powered Developer Platform-CO3[Apply commands related to Collaboration and Remote Repositories](21CS594)
3rd,CSE,5th ,21CS594,GitHub : AI-Powered Developer Platform,CO4,"Use the commands related to Git Tags, Releases and advanced git operations",3rd 5th  21CS594 GitHub : AI-Powered Developer Platform,"GitHub : AI-Powered Developer Platform-CO4[Use the commands related to Git Tags, Releases and advanced git operations](21CS594)"
3rd,CSE,5th ,21CS594,GitHub : AI-Powered Developer Platform,CO5,Analyze and change the git history,3rd 5th  21CS594 GitHub : AI-Powered Developer Platform,GitHub : AI-Powered Developer Platform-CO5[Analyze and change the git history](21CS594)
2nd ,CS,3rd,21CS594/CS42297CA,GitHub: AI-Powered Developer Platform,CO1,Use the basics commands related to git repository,2nd  3rd 21CS594/CS42297CA GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO1[Use the basics commands related to git repository](21CS594/CS42297CA)
2nd ,CS,3rd,21CS594/CS42297CA,GitHub: AI-Powered Developer Platform,CO2,Create and manage the branches,2nd  3rd 21CS594/CS42297CA GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO2[Create and manage the branches](21CS594/CS42297CA)
2nd ,CS,3rd,21CS594/CS42297CA,GitHub: AI-Powered Developer Platform,CO3,Apply commands related to Collaboration and Remote Repositories,2nd  3rd 21CS594/CS42297CA GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO3[Apply commands related to Collaboration and Remote Repositories](21CS594/CS42297CA)
2nd ,CS,3rd,21CS594/CS42297CA,GitHub: AI-Powered Developer Platform,CO4,"Use the commands related to Git Tags, Releases and advanced git operations",2nd  3rd 21CS594/CS42297CA GitHub: AI-Powered Developer Platform,"GitHub: AI-Powered Developer Platform-CO4[Use the commands related to Git Tags, Releases and advanced git operations](21CS594/CS42297CA)"
2nd ,CS,3rd,21CS594/CS42297CA,GitHub: AI-Powered Developer Platform,CO5,Analyse and change the git history,2nd  3rd 21CS594/CS42297CA GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO5[Analyse and change the git history](21CS594/CS42297CA)
3rd,ISE,5th ,21CS594,GitHub: AI-Powered Developer Platform,CO1,Use the basics commands related to git repository,3rd 5th  21CS594 GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO1[Use the basics commands related to git repository](21CS594)
3rd,ISE,5th ,21CS594,GitHub: AI-Powered Developer Platform,CO2,Create and manage the branches,3rd 5th  21CS594 GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO2[Create and manage the branches](21CS594)
3rd,ISE,5th ,21CS594,GitHub: AI-Powered Developer Platform,CO3,Apply commands related to Collaboration and Remote Repositories,3rd 5th  21CS594 GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO3[Apply commands related to Collaboration and Remote Repositories](21CS594)
3rd,ISE,5th ,21CS594,GitHub: AI-Powered Developer Platform,CO4,"Use the commands related to Git Tags, Releases and advanced git operations",3rd 5th  21CS594 GitHub: AI-Powered Developer Platform,"GitHub: AI-Powered Developer Platform-CO4[Use the commands related to Git Tags, Releases and advanced git operations](21CS594)"
3rd,ISE,5th ,21CS594,GitHub: AI-Powered Developer Platform,CO5,Analyse and change the git history,3rd 5th  21CS594 GitHub: AI-Powered Developer Platform,GitHub: AI-Powered Developer Platform-CO5[Analyse and change the git history](21CS594)
3rd,ME,5th ,21ME62,HEAT TRANSFER  ,CO1,"Describe the basic modes of heat transfer, boundary conditions and solve problems on 1D conduction equation in cartesian, cylindrical and spherical co-ordinate systems.",3rd 5th  21ME62 HEAT TRANSFER  ,"HEAT TRANSFER  -CO1[Describe the basic modes of heat transfer, boundary conditions and solve problems on 1D conduction equation in cartesian, cylindrical and spherical co-ordinate systems.](21ME62)"
3rd,ME,5th ,21ME62,HEAT TRANSFER  ,CO2,"Explain the concept of fins and its applications and solve problems on critical thickness of insulation, Analyze the Transient heat conduction by using Heisler and Grober charts.",3rd 5th  21ME62 HEAT TRANSFER  ,"HEAT TRANSFER  -CO2[Explain the concept of fins and its applications and solve problems on critical thickness of insulation, Analyze the Transient heat conduction by using Heisler and Grober charts.](21ME62)"
3rd,ME,5th ,21ME62,HEAT TRANSFER  ,CO3,Analyse the system of steady and unsteady heat conduction in 1D & 2D co-ordinates and explain the basic concepts of radiation heat transfer.,3rd 5th  21ME62 HEAT TRANSFER  ,HEAT TRANSFER  -CO3[Analyse the system of steady and unsteady heat conduction in 1D & 2D co-ordinates and explain the basic concepts of radiation heat transfer.](21ME62)
3rd,ME,5th ,21ME62,HEAT TRANSFER  ,CO4,"Analyze and Solve the problems on forced convection, velocity and thermal boundary layers, applications of navier stokes and energy equations, free convection on various geometries.",3rd 5th  21ME62 HEAT TRANSFER  ,"HEAT TRANSFER  -CO4[Analyze and Solve the problems on forced convection, velocity and thermal boundary layers, applications of navier stokes and energy equations, free convection on various geometries.](21ME62)"
3rd,ME,5th ,21ME62,HEAT TRANSFER  ,CO5,"Design various types of heat exchangers, boiling & condensation equipment’s.",3rd 5th  21ME62 HEAT TRANSFER  ,"HEAT TRANSFER  -CO5[Design various types of heat exchangers, boiling & condensation equipment’s.](21ME62)"
4th,ISE,7th,21IS734,HIGH PERFORMANCE COMPUTING,CO1,,4th 7th 21IS734 HIGH PERFORMANCE COMPUTING,HIGH PERFORMANCE COMPUTING-CO1[](21IS734)
3rd,RA,5th ,21ME51 ,HYDRAULIC AND PNEUMATIC SYSTEMS,CO1,Comprehensive Understanding of Hydraulic Power Systems,3rd 5th  21ME51  HYDRAULIC AND PNEUMATIC SYSTEMS,HYDRAULIC AND PNEUMATIC SYSTEMS-CO1[Comprehensive Understanding of Hydraulic Power Systems](21ME51 )
3rd,RA,5th ,21ME51 ,HYDRAULIC AND PNEUMATIC SYSTEMS,CO2,Proficiency in Hydraulic System Components and Maintenance,3rd 5th  21ME51  HYDRAULIC AND PNEUMATIC SYSTEMS,HYDRAULIC AND PNEUMATIC SYSTEMS-CO2[Proficiency in Hydraulic System Components and Maintenance](21ME51 )
3rd,RA,5th ,21ME51,HYDRAULIC AND PNEUMATIC SYSTEMS,CO3,develop skills in designing and analyzing hydraulic circuits.,3rd 5th  21ME51 HYDRAULIC AND PNEUMATIC SYSTEMS,HYDRAULIC AND PNEUMATIC SYSTEMS-CO3[develop skills in designing and analyzing hydraulic circuits.](21ME51)
3rd,RA,5th ,21ME51,HYDRAULIC AND PNEUMATIC SYSTEMS,CO4,Understanding of Pneumatic Systems and Components,3rd 5th  21ME51 HYDRAULIC AND PNEUMATIC SYSTEMS,HYDRAULIC AND PNEUMATIC SYSTEMS-CO4[Understanding of Pneumatic Systems and Components](21ME51)
3rd,RA,5th ,21ME51,HYDRAULIC AND PNEUMATIC SYSTEMS,CO5,Application of Multi-Cylinder Systems and Electro-Pneumatic Control,3rd 5th  21ME51 HYDRAULIC AND PNEUMATIC SYSTEMS,HYDRAULIC AND PNEUMATIC SYSTEMS-CO5[Application of Multi-Cylinder Systems and Electro-Pneumatic Control](21ME51)
4th,RA,7th,21AR72(A),INDUSTRIAL AUTOMATION ,CO1,Impart the knowledge of industrial process control philosophies.,4th 7th 21AR72(A) INDUSTRIAL AUTOMATION ,INDUSTRIAL AUTOMATION -CO1[Impart the knowledge of industrial process control philosophies.](21AR72(A))
4th,RA,7th,21AR72(A),INDUSTRIAL AUTOMATION ,CO2,Expose students to the various characteristic features of PLC and PLC programming basics.,4th 7th 21AR72(A) INDUSTRIAL AUTOMATION ,INDUSTRIAL AUTOMATION -CO2[Expose students to the various characteristic features of PLC and PLC programming basics.](21AR72(A))
4th,RA,7th,21AR72(A),INDUSTRIAL AUTOMATION ,CO3,Expose students to understand the various aspects of ladder programming and its blocks and functions.,4th 7th 21AR72(A) INDUSTRIAL AUTOMATION ,INDUSTRIAL AUTOMATION -CO3[Expose students to understand the various aspects of ladder programming and its blocks and functions.](21AR72(A))
4th,RA,7th,21AR72(A),INDUSTRIAL AUTOMATION ,CO4,Expose the students to concepts of PLC data handling.,4th 7th 21AR72(A) INDUSTRIAL AUTOMATION ,INDUSTRIAL AUTOMATION -CO4[Expose the students to concepts of PLC data handling.](21AR72(A))
4th,RA,7th,21AR72(A),INDUSTRIAL AUTOMATION ,CO5,Make students understand the use of PLC elements in controlling electrical and electronic circuits.,4th 7th 21AR72(A) INDUSTRIAL AUTOMATION ,INDUSTRIAL AUTOMATION -CO5[Make students understand the use of PLC elements in controlling electrical and electronic circuits.](21AR72(A))
3rd,ISE,6th,21IS642,INDUSTRIAL IOT & ANALYTICS,CO1,Knowledge of theory and practice related to Industrial IoT Systems.,3rd 6th 21IS642 INDUSTRIAL IOT & ANALYTICS,INDUSTRIAL IOT & ANALYTICS-CO1[Knowledge of theory and practice related to Industrial IoT Systems.](21IS642)
3rd,ISE,6th,21IS642,INDUSTRIAL IOT & ANALYTICS,CO2,"Ability to identify, formulate and solve engineering problems by using Industrial IoT.",3rd 6th 21IS642 INDUSTRIAL IOT & ANALYTICS,"INDUSTRIAL IOT & ANALYTICS-CO2[Ability to identify, formulate and solve engineering problems by using Industrial IoT.](21IS642)"
3rd,ISE,6th,21IS642,INDUSTRIAL IOT & ANALYTICS,CO3,Analyze data Analytics for Industrial Internet of Things,3rd 6th 21IS642 INDUSTRIAL IOT & ANALYTICS,INDUSTRIAL IOT & ANALYTICS-CO3[Analyze data Analytics for Industrial Internet of Things](21IS642)
3rd,ISE,6th,21IS642,INDUSTRIAL IOT & ANALYTICS,CO4,Demonstrate Cyber Physical systems.,3rd 6th 21IS642 INDUSTRIAL IOT & ANALYTICS,INDUSTRIAL IOT & ANALYTICS-CO4[Demonstrate Cyber Physical systems.](21IS642)
3rd,ISE,6th,21IS642,INDUSTRIAL IOT & ANALYTICS,CO5,Ability to implement real field problem by gained knowledge of Industrial applications with IoT capability.,3rd 6th 21IS642 INDUSTRIAL IOT & ANALYTICS,INDUSTRIAL IOT & ANALYTICS-CO5[Ability to implement real field problem by gained knowledge of Industrial applications with IoT capability.](21IS642)
4th,ISE,7th,21IS741,INFORMATION MANAGEMENT SYSTEM,CO1,,4th 7th 21IS741 INFORMATION MANAGEMENT SYSTEM,INFORMATION MANAGEMENT SYSTEM-CO1[](21IS741)
3rd,ISE,6th,21IS641,INFORMATION STORAGE MANAGEMENT,CO1,Describe the evolution of information storage architecture and data center environment. Also identify the storage requirements for the applications. ,3rd 6th 21IS641 INFORMATION STORAGE MANAGEMENT,INFORMATION STORAGE MANAGEMENT-CO1[Describe the evolution of information storage architecture and data center environment. Also identify the storage requirements for the applications. ](21IS641)
3rd,ISE,6th,21IS641,INFORMATION STORAGE MANAGEMENT,CO2,"Explain the importance of RAID and an intelligent storage system for the effective maintenance and protection of data. Also, identify the disk load in different types of RAID.",3rd 6th 21IS641 INFORMATION STORAGE MANAGEMENT,"INFORMATION STORAGE MANAGEMENT-CO2[Explain the importance of RAID and an intelligent storage system for the effective maintenance and protection of data. Also, identify the disk load in different types of RAID.](21IS641)"
3rd,ISE,6th,21IS641,INFORMATION STORAGE MANAGEMENT,CO3,Discuss the different storage networking technologies including FC SAN and NAS.,3rd 6th 21IS641 INFORMATION STORAGE MANAGEMENT,INFORMATION STORAGE MANAGEMENT-CO3[Discuss the different storage networking technologies including FC SAN and NAS.](21IS641)
3rd,ISE,6th,21IS641,INFORMATION STORAGE MANAGEMENT,CO4,"Explain the process of business continuity, backup, and recovery to ensure information availability for vital business operations.",3rd 6th 21IS641 INFORMATION STORAGE MANAGEMENT,"INFORMATION STORAGE MANAGEMENT-CO4[Explain the process of business continuity, backup, and recovery to ensure information availability for vital business operations.](21IS641)"
3rd,ISE,6th,21IS641,INFORMATION STORAGE MANAGEMENT,CO5,Explain the process of replication to minimize the risk of business disruption and ensure business continuity.,3rd 6th 21IS641 INFORMATION STORAGE MANAGEMENT,INFORMATION STORAGE MANAGEMENT-CO5[Explain the process of replication to minimize the risk of business disruption and ensure business continuity.](21IS641)
1st,CS,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO1,Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO1[Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.](HI122P8X/ HI222P8X)
1st,CS,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO2,"Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.",1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,"Innovation and Design Thinking-CO2[Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.](HI122P8X/ HI222P8X)"
1st,CS,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO3,Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO3[Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.](HI122P8X/ HI222P8X)
1st,CS,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO4,Build a prototype for the defined problem statement and generate Business Model Canvas.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO4[Build a prototype for the defined problem statement and generate Business Model Canvas.](HI122P8X/ HI222P8X)
1st,CS,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO5,Construct criteria and metrics to evaluate the success of design solutions,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO5[Construct criteria and metrics to evaluate the success of design solutions](HI122P8X/ HI222P8X)
1st,ECE,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO1,Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO1[Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.](HI122P8X/ HI222P8X)
1st,ECE,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO2,"Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.",1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,"Innovation and Design Thinking-CO2[Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.](HI122P8X/ HI222P8X)"
1st,ECE,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO3,Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO3[Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.](HI122P8X/ HI222P8X)
1st,ECE,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO4,Build a prototype for the defined problem statement and generate Business Model Canvas.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO4[Build a prototype for the defined problem statement and generate Business Model Canvas.](HI122P8X/ HI222P8X)
1st,ECE,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO5,Construct criteria and metrics to evaluate the success of design solutions,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO5[Construct criteria and metrics to evaluate the success of design solutions](HI122P8X/ HI222P8X)
1st,MERA,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO1,Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO1[Compare Traditional Problem-Solving Techniques with Design Thinking approaches related to societal challenges.](HI122P8X/ HI222P8X)
1st,MERA,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO2,"Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.",1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,"Innovation and Design Thinking-CO2[Utilize empathy maps to visually represent user perspectives, thoughts, feelings and actions to define a problem statement.](HI122P8X/ HI222P8X)"
1st,MERA,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO3,Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO3[Develop SCAMPER and Mind Maps to serve as visual tools which captures and organizes ideas for the defined problem statement.](HI122P8X/ HI222P8X)
1st,MERA,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO4,Build a prototype for the defined problem statement and generate Business Model Canvas.,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO4[Build a prototype for the defined problem statement and generate Business Model Canvas.](HI122P8X/ HI222P8X)
1st,MERA,Chemistry Cycle,HI122P8X/ HI222P8X,Innovation and Design Thinking,CO5,Construct criteria and metrics to evaluate the success of design solutions,1st Chemistry Cycle HI122P8X/ HI222P8X Innovation and Design Thinking,Innovation and Design Thinking-CO5[Construct criteria and metrics to evaluate the success of design solutions](HI122P8X/ HI222P8X)
3rd,AIML,6th,21INT68,Innovation/ Entrepreneurship/ Societal Internship,CO1,,3rd 6th 21INT68 Innovation/ Entrepreneurship/ Societal Internship,Innovation/ Entrepreneurship/ Societal Internship-CO1[](21INT68)
4th,AIML,7th,21AI741,Introduction to AI and ML,CO1,,4th 7th 21AI741 Introduction to AI and ML,Introduction to AI and ML-CO1[](21AI741)
4th,CSE_OE,7th,21CS742,21CS742,CO1,Understand fundamentals and applications of Big Data. Interpret the concepts of Hadoop framework and Hadoop Distributed File system and Map Reduce framework,4th 7th 21CS742 21CS742,21CS742-CO1[Understand fundamentals and applications of Big Data. Interpret the concepts of Hadoop framework and Hadoop Distributed File system and Map Reduce framework](21CS742)
4th,CSE_OE,7th,21CS742,INTRODUCTION TO BIG DATA,CO2,Illustrate the Hadoop related tools for Big Data Analytics and perform basic Hadoop Administration,4th 7th 21CS742 INTRODUCTION TO BIG DATA,INTRODUCTION TO BIG DATA-CO2[Illustrate the Hadoop related tools for Big Data Analytics and perform basic Hadoop Administration](21CS742)
4th,CSE_OE,7th,21CS742,INTRODUCTION TO BIG DATA,CO3,"Demonstrate the role of Business Intelligence, Data warehousing and Visualization",4th 7th 21CS742 INTRODUCTION TO BIG DATA,"INTRODUCTION TO BIG DATA-CO3[Demonstrate the role of Business Intelligence, Data warehousing and Visualization](21CS742)"
4th,CSE_OE,7th,21CS742,INTRODUCTION TO BIG DATA,CO4,Demonstrate the importance of data mining techniques for data analytics.,4th 7th 21CS742 INTRODUCTION TO BIG DATA,INTRODUCTION TO BIG DATA-CO4[Demonstrate the importance of data mining techniques for data analytics.](21CS742)
4th,CSE_OE,7th,21CS742,INTRODUCTION TO BIG DATA,CO5,Compare and contrast different Text Mining Techniques,4th 7th 21CS742 INTRODUCTION TO BIG DATA,INTRODUCTION TO BIG DATA-CO5[Compare and contrast different Text Mining Techniques](21CS742)
4th,AIML,7th,21CS742,Introduction to Bigdata,CO1,,4th 7th 21CS742 Introduction to Bigdata,Introduction to Bigdata-CO1[](21CS742)
4th,ISE,7th,21IS742,INTRODUCTION TO CLOUD COMPUTING,CO1,,4th 7th 21IS742 INTRODUCTION TO CLOUD COMPUTING,INTRODUCTION TO CLOUD COMPUTING-CO1[](21IS742)
4th,CY_OE,7th,21CY742,INTRODUCTION TO CRYPTOGRAPHY,CO1,Explain basic cryptographic algorithms to encrypt and decrypt the data,4th 7th 21CY742 INTRODUCTION TO CRYPTOGRAPHY,INTRODUCTION TO CRYPTOGRAPHY-CO1[Explain basic cryptographic algorithms to encrypt and decrypt the data](21CY742)
4th,CY_OE,7th,21CY742,INTRODUCTION TO CRYPTOGRAPHY,CO2, Use symmetric and asymmetric cryptography algorithms to encrypt and decrypt the information.,4th 7th 21CY742 INTRODUCTION TO CRYPTOGRAPHY,INTRODUCTION TO CRYPTOGRAPHY-CO2[ Use symmetric and asymmetric cryptography algorithms to encrypt and decrypt the information.](21CY742)
4th,CY_OE,7th,21CY742,INTRODUCTION TO CRYPTOGRAPHY,CO3,Describe the mathematics associated with cryptography,4th 7th 21CY742 INTRODUCTION TO CRYPTOGRAPHY,INTRODUCTION TO CRYPTOGRAPHY-CO3[Describe the mathematics associated with cryptography](21CY742)
4th,CY_OE,7th,21CY742,INTRODUCTION TO CRYPTOGRAPHY,CO4, Apply concepts of modern algebra in cryptography algorithms,4th 7th 21CY742 INTRODUCTION TO CRYPTOGRAPHY,INTRODUCTION TO CRYPTOGRAPHY-CO4[ Apply concepts of modern algebra in cryptography algorithms](21CY742)
4th,CY_OE,7th,21CY742,INTRODUCTION TO CRYPTOGRAPHY,CO5,Apply pseudo random sequence in stream cipher algorithms.,4th 7th 21CY742 INTRODUCTION TO CRYPTOGRAPHY,INTRODUCTION TO CRYPTOGRAPHY-CO5[Apply pseudo random sequence in stream cipher algorithms.](21CY742)
4th,AIML,7th,21CS743,Introduction to Data Science,CO1,,4th 7th 21CS743 Introduction to Data Science,Introduction to Data Science-CO1[](21CS743)
4th,CSE_OE,7th,21CS743,INTRODUCTION TO DATA SCIENCE,CO1,Understand the data science terminologies.,4th 7th 21CS743 INTRODUCTION TO DATA SCIENCE,INTRODUCTION TO DATA SCIENCE-CO1[Understand the data science terminologies.](21CS743)
4th,CSE_OE,7th,21CS743,INTRODUCTION TO DATA SCIENCE,CO2,Apply the Data Science process on real time scenario.,4th 7th 21CS743 INTRODUCTION TO DATA SCIENCE,INTRODUCTION TO DATA SCIENCE-CO2[Apply the Data Science process on real time scenario.](21CS743)
4th,CSE_OE,7th,21CS743,INTRODUCTION TO DATA SCIENCE,CO3,Apply Machine Learning algorithm.,4th 7th 21CS743 INTRODUCTION TO DATA SCIENCE,INTRODUCTION TO DATA SCIENCE-CO3[Apply Machine Learning algorithm.](21CS743)
4th,CSE_OE,7th,21CS743,INTRODUCTION TO DATA SCIENCE,CO4,Analyze data visualization tools.,4th 7th 21CS743 INTRODUCTION TO DATA SCIENCE,INTRODUCTION TO DATA SCIENCE-CO4[Analyze data visualization tools.](21CS743)
4th,CSE_OE,7th,21CS743,INTRODUCTION TO DATA SCIENCE,CO5,Apply Data storage and processing with frameworks.,4th 7th 21CS743 INTRODUCTION TO DATA SCIENCE,INTRODUCTION TO DATA SCIENCE-CO5[Apply Data storage and processing with frameworks.](21CS743)
1st,CS,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO1,Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO1[Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.](EC122I4X/ EC222I4X)
1st,CS,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO2,Construct single-phase and three-phase (star and delta Connections) systems.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO2[Construct single-phase and three-phase (star and delta Connections) systems.](EC122I4X/ EC222I4X)
1st,CS,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO3,"Interpret the Working principles, Construction and performance characteristics of Electrical DC Machines.",1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,"Introduction to Electrical Engineering-CO3[Interpret the Working principles, Construction and performance characteristics of Electrical DC Machines.](EC122I4X/ EC222I4X)"
1st,CS,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO4,Illustrate the working principles and construction of transformers and three-phase induction motor.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO4[Illustrate the working principles and construction of transformers and three-phase induction motor.](EC122I4X/ EC222I4X)
1st,CS,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO5,Demonstrate electrical circuit and safety precautions in handling domestic appliances.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO5[Demonstrate electrical circuit and safety precautions in handling domestic appliances.](EC122I4X/ EC222I4X)
1st,ECE,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO1,Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO1[Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.](EC122I4X/ EC222I4X)
1st,ECE,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO2,Construct single-phase and three-phase (star and delta Connections) systems.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO2[Construct single-phase and three-phase (star and delta Connections) systems.](EC122I4X/ EC222I4X)
1st,ECE,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO3,"Interpret the Working principles, Construction and performance characteristics of Electrical DC Machines.",1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,"Introduction to Electrical Engineering-CO3[Interpret the Working principles, Construction and performance characteristics of Electrical DC Machines.](EC122I4X/ EC222I4X)"
1st,ECE,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO4,Illustrate the working principles and construction of transformers and three-phase induction motor.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO4[Illustrate the working principles and construction of transformers and three-phase induction motor.](EC122I4X/ EC222I4X)
1st,ECE,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO5,Demonstrate electrical circuit and safety precautions in handling domestic appliances.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO5[Demonstrate electrical circuit and safety precautions in handling domestic appliances.](EC122I4X/ EC222I4X)
1st,MERA,Chemistry Cycle,EC122I4X/ EC222I4X,Introduction to Electrical Engineering,CO1,Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.,1st Chemistry Cycle EC122I4X/ EC222I4X Introduction to Electrical Engineering,Introduction to Electrical Engineering-CO1[Apply KVL/KCL in DC circuits and apprehend the concepts of AC circuits.](EC122I4X/ EC222I4X)
